date,rainfall,dept,temperature,volume,hydrometry
2009-01-01,0.0,-31.96,5.2,-24530.688,2.4
2009-01-02,0.0,-32.03,2.3,-28785.888,2.5
2009-01-03,0.0,-31.97,4.4,-25766.208,2.4
2009-01-04,0.0,-31.91,0.8,-27919.296,2.4
2009-01-05,0.0,-31.94,-1.9,-29854.656,2.3
2009-01-06,0.0,-31.89,-0.7,-29124.576,2.3
2009-01-07,0.0,-31.91,1.5,-31173.12,2.3
2009-01-08,0.0,-31.83,4.3,-30232.224,2.4
2009-01-09,0.9,-31.8,4.9,-30597.696,2.3
2009-01-10,0.0,-31.76,1.9,-31337.28,2.3
2009-01-11,0.0,-31.7,3.4,-29845.152,2.3
2009-01-12,0.0,-31.57,3.3,-28745.28,2.3
2009-01-13,1.1,-31.54,6.0,-28932.768,2.3
2009-01-14,0.0,-31.44,8.2,-28600.128,2.3
2009-01-15,0.0,-31.26,7.8,-24973.056,2.3
2009-01-16,0.0,-31.5,5.1,-31388.256,2.3
2009-01-17,0.0,-31.61,1.6,-30941.568,2.3
2009-01-18,0.1,-31.15,6.4,-23043.744,2.3
2009-01-19,0.1,-30.95,10.3,-21658.752,2.3
2009-01-20,0.0,-30.93,12.1,-23793.696,2.3
2009-01-21,0.0,-30.89,9.4,-22443.264,2.3
2009-01-22,0.0,-30.81,7.7,-22976.352,2.3
2009-01-23,0.0,-30.75,6.0,-23939.712,2.3
2009-01-24,0.0,-30.71,8.3,-24362.208,2.4
2009-01-25,4.1,-30.72,6.3,-23709.888,2.6
2009-01-26,0.0,-30.51,3.8,-22446.72,2.6
2009-01-27,0.0,-30.57,5.8,-24992.064,2.7
2009-01-28,0.0,-30.52,5.6,-24554.016,2.6
2009-01-29,0.0,-30.52,4.6,-24059.808,2.6
2009-01-30,0.0,-30.49,6.5,-26126.496,2.5
2009-01-31,0.0,-30.49,3.0,-26694.144,2.5
2009-02-01,0.0,-30.29,3.8,-22536.576,2.5
2009-02-02,0.0,-30.32,4.7,-25226.208,2.4
2009-02-03,2.9,-30.4,9.1,-28696.032,2.5
2009-02-04,7.0,-30.21,8.7,-23134.464,2.5
2009-02-05,0.1,-30.28,11.4,-26933.472,2.5
2009-02-06,0.0,-30.15,10.5,-25482.816,2.8
2009-02-07,0.0,-30.11,9.3,-25976.16,2.8
2009-02-08,0.4,-30.01,7.0,-24349.248,2.9
2009-02-09,0.0,-30.05,6.3,-23284.8,2.8
2009-02-10,0.0,-30.02,7.5,-24525.504,2.7
2009-02-11,2.8,-30.1,5.8,-26733.888,2.8
2009-02-12,0.0,-29.97,3.4,-24623.136,2.7
2009-02-13,0.0,-30.05,1.8,-25828.416,2.7
2009-02-14,0.0,-30.02,0.7,-27366.336,2.6
